symbol,mean_variance_weights_test.0.1,mean_variance_weights_test.0.25,mean_variance_weights_test.0.50
AMD,0.020719643,0.052917935,0.098868821
CDNS,0.00090934,0.002322453,0.004339136
CPRT,0.044637818,0.114004919,0.21300022
ETSY,0.022706048,0.057991213,0.10834744
IDXX,0.028159648,0.071919698,0.134370618
MSCI,0.003280863,0.00837932,0.015655438
NVDA,0.01076045,0.027482174,0.051346109
PAYC,0.010494544,0.026803049,0.050077271
SNPS,-0.020075324,-0.051272347,-0.095794298
WST,0.025402378,0.064877635,0.121213634
